ASSET ID,ASSET NAME,RESOURCE ID,Fuel Type,RESOURCE NAME,GENERATOR TYPE,Primary Fuel Type,ALT FUEL TYPE,EIA PLANT NUMBER,Nameplate Capacity (MW)
769,HADLEY FALLS 1&2,769.0,Hydro,HADLEY FALLS 1&2,HYDRO: RUN OF RIVER,WAT,,1605,28.001165719371222
774,LOWER LAMOILLE COMPOSITE,774.0,Hydro,LOWER LAMOILLE COMPOSITE,HYDRO: WEEKLY PONDAGE,WAT,,3711,15.171688054026896
779,MIDDLESEX 2,779.0,Hydro,MIDDLESEX 2,HYDRO: RUN OF RIVER,WAT,,3740,2.3773300369557817
781,WEST DANVILLE 1,781.0,Hydro,WEST DANVILLE 1,HYDRO: RUN OF RIVER,WAT,,3743,2.046845141666853
789,CEC 002 PAWTUCKET U5,789.0,Hydro,CEC 002 PAWTUCKET U5,HYDRO: RUN OF RIVER,WAT,,3233,3.1103401316838144
792,CENTENNIAL HYDRO,792.0,Hydro,CENTENNIAL HYDRO,HYDRO: RUN OF RIVER,WAT,,7112,0.7113980034829802
793,METHUEN HYDRO,793.0,Hydro,METHUEN HYDRO,HYDRO: RUN OF RIVER,WAT,,,0.2458375379124729
794,MINIWAWA,794.0,Hydro,MINIWAWA,HYDRO: RUN OF RIVER,WAT,,,0.90050380187719
795,RIVER MILL HYDRO,795.0,Hydro,RIVER MILL HYDRO,HYDRO: RUN OF RIVER,WAT,,3049,0.180100760375438
796,GOODWIN DAM,796.0,Hydro,GOODWIN DAM,HYDRO: DAILY PONDAGE,WAT,,54302,2.971662546194727
797,WYRE WYND HYDRO,797.0,Hydro,CEC 003 WYRE WYND U5,HYDRO: RUN OF RIVER,WAT,,,2.5034005692185883
800,KINNEYTOWN B,800.0,Hydro,KINNEYTOWN B,HYDRO: RUN OF RIVER,WAT,,54385,1.359760740834557
801,WILLIMANTIC 1,801.0,Hydro,WILLIMANTIC 1,HYDRO: RUN OF RIVER,WAT,,,0.6933879274454363
802,WILLIMANTIC 2,802.0,Hydro,WILLIMANTIC 2,HYDRO: RUN OF RIVER,WAT,,,0.6933879274454363
803,TOUTANT,803.0,Hydro,TOUTANT,HYDRO: RUN OF RIVER,WAT,,,0.450251900938595
804,PUTNAM,804.0,Hydro,PUTNAM,HYDRO: RUN OF RIVER,WAT,,,1.7469773756417486
806,MECHANICSVILLE,806.0,Hydro,MECHANICSVILLE,HYDRO: RUN OF RIVER,WAT,,,0.2611461025443851
807,CEC 004 DAYVILLE POND U5,807.0,Hydro,CEC 004 DAYVILLE POND U5,HYDRO: RUN OF RIVER,WAT,,,0.090050380187719
808,SANDY HOOK HYDRO,808.0,Hydro,SANDY HOOK HYDRO,HYDRO: RUN OF RIVER,WAT,,,0.17109572235666612
810,QUINEBAUG,810.0,Hydro,QUINEBAUG,HYDRO: RUN OF RIVER,WAT,,543,2.530415683274904
811,BANTAM,811.0,Hydro,BANTAM,HYDRO: RUN OF RIVER,WAT,,6457,0.2881612166007008
813,TUNNEL,813.0,Hydro,TUNNEL,HYDRO: RUN OF RIVER,WAT,,557,1.9108690675833973
814,PATCH,814.0,Hydro,PATCH,HYDRO: RUN OF RIVER,WAT,,3719,0.9455289919710496
815,CARVER FALLS,815.0,Hydro,CARVER FALLS,HYDRO: RUN OF RIVER,WAT,,6456,2.247657489485466
816,CAVENDISH,816.0,Hydro,CAVENDISH,HYDRO: RUN OF RIVER,WAT,,3710,2.3332053506637997
817,TAFTSVILLE  VT,817.0,Hydro,TAFTSVILLE  VT,HYDRO: RUN OF RIVER,WAT,,3727,0.6087405700689805
818,PIERCE MILLS,818.0,Hydro,PIERCE MILLS,HYDRO: RUN OF RIVER,WAT,,3721,0.360201520750876
819,ARNOLD FALLS,819.0,Hydro,ARNOLD FALLS,HYDRO: RUN OF RIVER,WAT,,3707,3.2778338388329717
820,PASSUMPSIC,820.0,Hydro,PASSUMPSIC,HYDRO: RUN OF RIVER,WAT,,3718,0.90050380187719
821,GAGE,821.0,Hydro,GAGE,HYDRO: RUN OF RIVER,WAT,,3713,0.8104534216894711
822,SMITH (CVPS),822.0,Hydro,SMITH (CVPS),HYDRO: RUN OF RIVER,WAT,,3709,2.23685144386294
823,EAST BARNET,823.0,Hydro,EAST BARNET,HYDRO: RUN OF RIVER,WAT,,788,2.431360265068413
824,BATH ELECTRIC HYDRO,824.0,Hydro,BATH ELECTRIC HYDRO,HYDRO: RUN OF RIVER,WAT,,,0.720403041501752
827,SEARSBURG WIND,827.0,Wind,SEARSBURG WIND,WIND TURBINE,WND,,7381,35.767912357050925
832,CENTER RUTLAND,832.0,Hydro,CENTER RUTLAND,HYDRO: RUN OF RIVER,WAT,,6453,0.9905541820649091
833,BARNET,833.0,Hydro,BARNET,HYDRO: RUN OF RIVER,WAT,,,0.4412468629198231
834,COMTU FALLS,834.0,Hydro,COMTU FALLS,HYDRO: RUN OF RIVER,WAT,,,0.41423174886350744
835,DEWEY MILLS,835.0,Hydro,DEWEY MILLS,HYDRO: RUN OF RIVER,WAT,,10137,2.5664358353499916
841,MORETOWN 8,841.0,Hydro,MORETOWN 8,HYDRO: RUN OF RIVER,WAT,,52033,1.0175692961212246
842,NANTANA MILL,842.0,Hydro,NANTANA MILL,HYDRO: RUN OF RIVER,WAT,,,0.1981108364129818
843,NEWBURY,843.0,Hydro,NEWBURY,HYDRO: RUN OF RIVER,WAT,,,0.24313602650684132
